user_id,image_path,item_label,response,response_time_sec,timestamp
user_1001,sample_testing_file/WOMEN-Jackets_Coats-id_00055724-02_7_additional.jpg,Jackets / Coats,yes,1.379,2026-04-05 14:33:25
user_1001,sample_testing_file/WOMEN-Jackets_Vests-id_00020380-04_3_back.jpg,Jackets / Vests,yes,5.606,2026-04-05 14:35:05
user_1001,sample_testing_file/MEN-Shirts_Polos-id_00058879-10_3_back.jpg,Shirts / Polos,no,4.129,2026-04-05 14:37:50
user_1001,sample_testing_file/WOMEN-Cardigans-id_00034180-04_3_back.jpg,Cardigans,yes,4.023,2026-04-05 14:39:16
user_1001,sample_testing_file/WOMEN-Dresses-id_00053546-08_7_additional.jpg,Dresses,yes,2.201,2026-04-05 14:40:45
user_1001,sample_testing_file/WOMEN-Jackets_Coats-id_00015015-11_7_additional.jpg,Jackets / Coats,no,2.387,2026-04-07 11:31:08
user_1001,sample_testing_file/MEN-Tees_Tanks-id_00029390-11_1_front.jpg,Tees / Tanks,no,3.505,2026-04-07 11:34:23
user_1001,sample_testing_file/WOMEN-Jackets_Coats-id_00005230-06_2_side.jpg,Jackets / Coats,yes,2.536,2026-04-07 11:36:37
user_1001,sample_testing_file/WOMEN-Denim-id_00027660-05_1_front.jpg,Denim,yes,3.207,2026-04-07 11:38:38
user_1001,sample_testing_file/WOMEN-Dresses-id_00023820-01_3_back.jpg,Dresses,yes,1.522,2026-04-08 18:29:49
user_1001,sample_testing_file/WOMEN-Denim-id_00006631-11_7_additional.jpg,Denim,no,0.705,2026-04-08 18:32:00
user_1001,sample_testing_file/WOMEN-Dresses-id_00073773-05_1_front.jpg,Dresses,yes,2.542,2026-04-08 18:33:31
user_1001,sample_testing_file/WOMEN-Hoodies_Sweatshirts-id_00041360-02_7_additional.jpg,Hoodies / Sweatshirts,no,1.524,2026-04-08 18:36:24
user_1001,sample_testing_file/WOMEN-Dresses-id_00077993-02_2_side.jpg,Dresses,no,4.487,2026-04-08 18:39:03
user_1001,sample_testing_file/MEN-Denim-id_00044609-05_7_additional.jpg,Denim,yes,2.745,2026-04-08 18:41:19
user_1002,sample_testing_file/MEN-Shorts-id_00015861-04_2_side.jpg,Shorts,no,1.991,2026-04-03 13:39:39
user_1002,sample_testing_file/WOMEN-Hoodies_Sweatshirts-id_00041360-02_7_additional.jpg,Hoodies / Sweatshirts,yes,0.456,2026-04-03 13:41:43
user_1002,sample_testing_file/WOMEN-Jackets_Coats-id_00055724-02_7_additional.jpg,Jackets / Coats,yes,1.869,2026-04-03 13:45:06
user_1002,sample_testing_file/MEN-Hoodies_Sweatshirts-id_00072849-01_7_additional.jpg,Hoodies / Sweatshirts,yes,1.637,2026-04-03 13:46:02
user_1002,sample_testing_file/MEN-Hoodies_Sweatshirts-id_00014323-04_2_side.jpg,Hoodies / Sweatshirts,no,2.06,2026-04-07 18:25:48
user_1002,sample_testing_file/MEN-Hoodies_Sweatshirts-id_00048352-03_7_additional.jpg,Hoodies / Sweatshirts,yes,2.051,2026-04-07 18:27:44
user_1002,sample_testing_file/WOMEN-Cardigans-id_00060947-08_4_full.jpg,Cardigans,no,1.744,2026-04-07 18:31:02
user_1002,sample_testing_file/WOMEN-Cardigans-id_00040889-10_4_full.jpg,Cardigans,yes,1.666,2026-04-07 18:34:06
user_1002,sample_testing_file/WOMEN-Skirts-id_00066543-02_3_back.jpg,Skirts,no,2.785,2026-04-07 18:36:55
user_1002,sample_testing_file/WOMEN-Skirts-id_00027761-09_2_side.jpg,Skirts,yes,2.13,2026-04-09 18:30:06
user_1002,sample_testing_file/WOMEN-Skirts-id_00063994-04_3_back.jpg,Skirts,yes,2.281,2026-04-09 18:31:31
user_1002,sample_testing_file/WOMEN-Cardigans-id_00060947-08_4_full.jpg,Cardigans,yes,3.118,2026-04-09 18:34:41
user_1002,sample_testing_file/MEN-Sweaters-id_00009546-08_4_full.jpg,Sweaters,yes,1.049,2026-04-09 18:38:13
user_1002,sample_testing_file/MEN-Graphic_Tees-id_00020290-04_3_back.jpg,Graphic Tees,no,4.509,2026-04-09 18:41:12
user_1002,sample_testing_file/MEN-Shorts-id_00004279-04_3_back.jpg,Shorts,no,2.152,2026-04-09 18:43:21
user_1003,sample_testing_file/WOMEN-Sweaters-id_00031636-12_4_full.jpg,Sweaters,yes,1.593,2026-04-06 12:16:19
user_1003,sample_testing_file/MEN-Tees_Tanks-id_00039140-07_4_full.jpg,Tees / Tanks,no,1.42,2026-04-06 12:19:13
user_1003,sample_testing_file/WOMEN-Dresses-id_00073773-05_1_front.jpg,Dresses,yes,1.438,2026-04-06 12:22:00
user_1003,sample_testing_file/WOMEN-Dresses-id_00022783-09_1_front.jpg,Dresses,no,3.639,2026-04-06 12:25:08
user_1003,sample_testing_file/WOMEN-Dresses-id_00023820-01_3_back.jpg,Dresses,yes,1.362,2026-04-07 12:05:48
user_1003,sample_testing_file/WOMEN-Cardigans-id_00010746-07_7_additional.jpg,Cardigans,yes,2.662,2026-04-07 12:07:10
user_1003,sample_testing_file/WOMEN-Hoodies_Sweatshirts-id_00041360-02_7_additional.jpg,Hoodies / Sweatshirts,yes,1.686,2026-04-07 12:09:31
user_1003,sample_testing_file/WOMEN-Hoodies_Sweatshirts-id_00035955-01_1_front.jpg,Hoodies / Sweatshirts,yes,1.667,2026-04-07 12:12:48
user_1003,sample_testing_file/WOMEN-Denim-id_00020927-12_4_full.jpg,Denim,yes,3.461,2026-04-07 12:16:01
user_1003,sample_testing_file/WOMEN-Skirts-id_00069330-01_7_additional.jpg,Skirts,yes,1.67,2026-04-11 14:50:25
user_1003,sample_testing_file/WOMEN-Cardigans-id_00040889-10_4_full.jpg,Cardigans,no,4.172,2026-04-11 14:51:47
user_1003,sample_testing_file/WOMEN-Sweaters-id_00034817-03_1_front.jpg,Sweaters,no,0.901,2026-04-11 14:52:40
user_1003,sample_testing_file/MEN-Hoodies_Sweatshirts-id_00072849-01_7_additional.jpg,Hoodies / Sweatshirts,yes,0.644,2026-04-11 14:56:19
user_1003,sample_testing_file/WOMEN-Hoodies_Sweatshirts-id_00035955-01_1_front.jpg,Hoodies / Sweatshirts,yes,0.734,2026-04-11 14:57:52
user_1003,sample_testing_file/MEN-Denim-id_00032528-05_2_side.jpg,Denim,no,2.231,2026-04-11 15:00:28
user_1004,sample_testing_file/WOMEN-Jackets_Vests-id_00072545-09_3_back.jpg,Jackets / Vests,yes,2.361,2026-04-02 13:44:49
user_1004,sample_testing_file/WOMEN-Shorts-id_00007456-09_1_front.jpg,Shorts,yes,1.428,2026-04-02 13:48:29
user_1004,sample_testing_file/MEN-Jackets_Vests-id_00034336-03_4_full.jpg,Jackets / Vests,no,2.054,2026-04-02 13:51:39
user_1004,sample_testing_file/MEN-Shorts-id_00028017-07_1_front.jpg,Shorts,yes,1.782,2026-04-02 13:53:32
user_1004,sample_testing_file/WOMEN-Shorts-id_00075632-11_1_front.jpg,Shorts,yes,0.586,2026-04-02 13:56:13
user_1004,sample_testing_file/MEN-Shirts_Polos-id_00023510-12_3_back.jpg,Shirts / Polos,no,0.678,2026-04-02 13:58:29
user_1004,sample_testing_file/MEN-Shirts_Polos-id_00036518-02_3_back.jpg,Shirts / Polos,yes,1.637,2026-04-02 13:58:58
user_1004,sample_testing_file/MEN-Shirts_Polos-id_00028747-03_7_additional.jpg,Shirts / Polos,no,1.173,2026-04-02 14:00:16
user_1004,sample_testing_file/MEN-Graphic_Tees-id_00041146-11_1_front.jpg,Graphic Tees,yes,4.486,2026-04-02 14:03:44
user_1004,sample_testing_file/MEN-Shirts_Polos-id_00003805-07_3_back.jpg,Shirts / Polos,no,2.305,2026-04-03 12:27:07
user_1004,sample_testing_file/WOMEN-Blouses_Shirts-id_00002758-10_7_additional.jpg,Blouses / Shirts,yes,5.548,2026-04-03 12:27:33
user_1004,sample_testing_file/WOMEN-Shorts-id_00075632-11_1_front.jpg,Shorts,yes,2.389,2026-04-03 12:29:23
user_1004,sample_testing_file/WOMEN-Jackets_Coats-id_00027550-07_7_additional.jpg,Jackets / Coats,yes,2.532,2026-04-03 12:32:26
user_1004,sample_testing_file/WOMEN-Jackets_Coats-id_00032743-02_4_full.jpg,Jackets / Coats,yes,1.734,2026-04-03 12:34:40
user_1004,sample_testing_file/WOMEN-Jackets_Coats-id_00005230-06_2_side.jpg,Jackets / Coats,yes,0.721,2026-04-03 12:35:03
user_1005,sample_testing_file/MEN-Hoodies_Sweatshirts-id_00009072-09_2_side.jpg,Hoodies / Sweatshirts,no,2.007,2026-04-03 19:01:31
user_1005,sample_testing_file/WOMEN-Denim-id_00020927-12_4_full.jpg,Denim,yes,2.527,2026-04-03 19:02:17
user_1005,sample_testing_file/WOMEN-Skirts-id_00017362-06_1_front.jpg,Skirts,yes,1.021,2026-04-03 19:05:56
user_1005,sample_testing_file/WOMEN-Jackets_Coats-id_00031964-08_7_additional.jpg,Jackets / Coats,no,0.574,2026-04-03 19:06:46
user_1005,sample_testing_file/MEN-Hoodies_Sweatshirts-id_00072849-01_7_additional.jpg,Hoodies / Sweatshirts,no,1.331,2026-04-03 19:08:58
user_1005,sample_testing_file/WOMEN-Hoodies_Sweatshirts-id_00079841-11_2_side.jpg,Hoodies / Sweatshirts,no,2.222,2026-04-03 19:10:12
user_1005,sample_testing_file/MEN-Shorts-id_00044658-03_1_front.jpg,Shorts,no,0.859,2026-04-03 19:13:18
user_1005,sample_testing_file/WOMEN-Skirts-id_00016552-11_4_full.jpg,Skirts,no,1.465,2026-04-06 17:26:30
user_1005,sample_testing_file/WOMEN-Skirts-id_00066543-02_3_back.jpg,Skirts,yes,1.041,2026-04-06 17:27:08
user_1005,sample_testing_file/MEN-Jackets_Vests-id_00018137-03_2_side.jpg,Jackets / Vests,yes,3.747,2026-04-06 17:30:08
user_1005,sample_testing_file/WOMEN-Shorts-id_00062403-11_4_full.jpg,Shorts,yes,4.279,2026-04-06 17:31:41
user_1005,sample_testing_file/MEN-Shirts_Polos-id_00023510-12_3_back.jpg,Shirts / Polos,yes,5.229,2026-04-06 17:34:46
user_1005,sample_testing_file/WOMEN-Blouses_Shirts-id_00071512-01_3_back.jpg,Blouses / Shirts,yes,2.019,2026-04-06 17:36:49
user_1005,sample_testing_file/WOMEN-Blouses_Shirts-id_00046439-07_4_full.jpg,Blouses / Shirts,yes,0.778,2026-04-06 17:38:27
user_1005,sample_testing_file/WOMEN-Blouses_Shirts-id_00036435-08_3_back.jpg,Blouses / Shirts,yes,0.658,2026-04-06 17:40:46
user_1006,sample_testing_file/WOMEN-Skirts-id_00078505-06_4_full.jpg,Skirts,yes,0.907,2026-04-06 21:04:16
user_1006,sample_testing_file/MEN-Shorts-id_00077140-07_3_back.jpg,Shorts,yes,5.011,2026-04-06 21:07:22
user_1006,sample_testing_file/MEN-Denim-id_00032528-05_2_side.jpg,Denim,yes,2.186,2026-04-06 21:09:14
user_1006,sample_testing_file/MEN-Tees_Tanks-id_00029390-11_1_front.jpg,Tees / Tanks,no,1.766,2026-04-06 21:11:55
user_1006,sample_testing_file/WOMEN-Denim-id_00050141-01_4_full.jpg,Denim,yes,1.038,2026-04-06 21:14:35
